# Kerr ISCO geodesic a/M=0.7 — all four coordinates
lambda,t_coord,r_coord,theta_coord,phi_coord
67.5,128.754701,3.441115,1.575022,5.958702
68.0,129.70844,3.433017,1.573354,6.095924
68.5,130.662178,3.423937,1.571653,6.233147
69.0,131.615917,3.414099,1.56994,0.087185
69.5,132.569656,3.403745,1.568238,0.224407
70.0,133.523394,3.393128,1.56657,0.36163
70.5,134.477133,3.382512,1.564957,0.498853
71.0,135.430871,3.372158,1.56342,0.636076
71.5,136.38461,3.36232,1.56198,0.773298
72.0,137.338348,3.35324,1.560654,0.910521
72.5,138.292087,3.345142,1.55946,1.047744
73.0,139.245825,3.338226,1.558414,1.184967
73.5,140.199564,3.332662,1.55753,1.32219
74.0,141.153302,3.328587,1.556818,1.459412
74.5,142.107041,3.326101,1.556289,1.596635
75.0,143.060779,3.325266,1.555949,1.733858
75.5,144.014518,3.326101,1.555802,1.871081
76.0,144.968256,3.328587,1.555851,2.008303
76.5,145.921995,3.332662,1.556095,2.145526
77.0,146.875733,3.338226,1.55653,2.282749
77.5,147.829472,3.345142,1.557152,2.419972
78.0,148.783211,3.35324,1.557951,2.557194
78.5,149.736949,3.36232,1.558918,2.694417
79.0,150.690688,3.372158,1.560039,2.83164
79.5,151.644426,3.382512,1.561301,2.968863
80.0,152.598165,3.393128,1.562687,3.106085
80.5,153.551903,3.403745,1.564178,3.243308
81.0,154.505642,3.414099,1.565756,3.380531
81.5,155.45938,3.423937,1.567399,3.517754
82.0,156.413119,3.433017,1.569086,3.654976
82.5,157.366857,3.441115,1.570796,3.792199
83.0,158.320596,3.44803,1.572506,3.929422
83.5,159.274334,3.453594,1.574194,4.066645
84.0,160.228073,3.45767,1.575837,4.203867
84.5,161.181811,3.460156,1.577415,4.34109
85.0,162.13555,3.460991,1.578906,4.478313
85.5,163.089288,3.460156,1.580292,4.615536
86.0,164.043027,3.45767,1.581553,4.752758
86.5,164.996766,3.453594,1.582675,4.889981
87.0,165.950504,3.44803,1.583642,5.027204
87.5,166.904243,3.441115,1.584441,5.164427
88.0,167.857981,3.433017,1.585062,5.301649
88.5,168.81172,3.423937,1.585498,5.438872
89.0,169.765458,3.414099,1.585741,5.576095
89.5,170.719197,3.403745,1.58579,5.713318
90.0,171.672935,3.393128,1.585644,5.850541
90.5,172.626674,3.382512,1.585304,5.987763
91.0,173.580412,3.372158,1.584774,6.124986
91.5,174.534151,3.36232,1.584063,6.262209
92.0,175.487889,3.35324,1.583178,0.116246
92.5,176.441628,3.345142,1.582133,0.253469
93.0,177.395366,3.338226,1.580939,0.390692
93.5,178.349105,3.332662,1.579613,0.527915
94.0,179.302843,3.328587,1.578172,0.665137
94.5,180.256582,3.326101,1.576635,0.80236
95.0,181.210321,3.325266,1.575022,0.939583
95.5,182.164059,3.326101,1.573354,1.076806
96.0,183.117798,3.328587,1.571653,1.214028
96.5,184.071536,3.332662,1.56994,1.351251
97.0,185.025275,3.338226,1.568238,1.488474
97.5,185.979013,3.345142,1.56657,1.625697
98.0,186.932752,3.35324,1.564957,1.762919
98.5,187.88649,3.36232,1.56342,1.900142
99.0,188.840229,3.372158,1.56198,2.037365
99.5,189.793967,3.382512,1.560654,2.174588
100.0,190.747706,3.393128,1.55946,2.31181
100.5,191.701444,3.403745,1.558414,2.449033
101.0,192.655183,3.414099,1.55753,2.586256
101.5,193.608921,3.423937,1.556818,2.723479
102.0,194.56266,3.433017,1.556289,2.860701
102.5,195.516398,3.441115,1.555949,2.997924
103.0,196.470137,3.44803,1.555802,3.135147
103.5,197.423876,3.453594,1.555851,3.27237
104.0,198.377614,3.45767,1.556095,3.409592
104.5,199.331353,3.460156,1.55653,3.546815
105.0,200.285091,3.460991,1.557152,3.684038
105.5,201.23883,3.460156,1.557951,3.821261
106.0,202.192568,3.45767,1.558918,3.958483
106.5,203.146307,3.453594,1.560039,4.095706
107.0,204.100045,3.44803,1.561301,4.232929
107.5,205.053784,3.441115,1.562687,4.370152
108.0,206.007522,3.433017,1.564178,4.507375
108.5,206.961261,3.423937,1.565756,4.644597
109.0,207.914999,3.414099,1.567399,4.78182
109.5,208.868738,3.403745,1.569086,4.919043
110.0,209.822476,3.393128,1.570796,5.056266
110.5,210.776215,3.382512,1.572506,5.193488
111.0,211.729953,3.372158,1.574194,5.330711
111.5,212.683692,3.36232,1.575837,5.467934
112.0,213.637431,3.35324,1.577415,5.605157
112.5,214.591169,3.345142,1.578906,5.742379
113.0,215.544908,3.338226,1.580292,5.879602
113.5,216.498646,3.332662,1.581553,6.016825
114.0,217.452385,3.328587,1.582675,6.154048
114.5,218.406123,3.326101,1.583642,0.008085
115.0,219.359862,3.325266,1.584441,0.145308
115.5,220.3136,3.326101,1.585062,0.282531
116.0,221.267339,3.328587,1.585498,0.419753
116.5,222.221077,3.332662,1.585741,0.556976
117.0,223.174816,3.338226,1.58579,0.694199
117.5,224.128554,3.345142,1.585644,0.831422
118.0,225.082293,3.35324,1.585304,0.968644
118.5,226.036031,3.36232,1.584774,1.105867
119.0,226.98977,3.372158,1.584063,1.24309
119.5,227.943508,3.382512,1.583178,1.380313
120.0,228.897247,3.393128,1.582133,1.517535
120.5,229.850986,3.403745,1.580939,1.654758
121.0,230.804724,3.414099,1.579613,1.791981
121.5,231.758463,3.423937,1.578172,1.929204
122.0,232.712201,3.433017,1.576635,2.066426
122.5,233.66594,3.441115,1.575022,2.203649
123.0,234.619678,3.44803,1.573354,2.340872
123.5,235.573417,3.453594,1.571653,2.478095
124.0,236.527155,3.45767,1.56994,2.615317
124.5,237.480894,3.460156,1.568238,2.75254
125.0,238.434632,3.460991,1.56657,2.889763
125.5,239.388371,3.460156,1.564957,3.026986
126.0,240.342109,3.45767,1.56342,3.164208
126.5,241.295848,3.453594,1.56198,3.301431
127.0,242.249586,3.44803,1.560654,3.438654
127.5,243.203325,3.441115,1.55946,3.575877
128.0,244.157063,3.433017,1.558414,3.7131
128.5,245.110802,3.423937,1.55753,3.850322
129.0,246.064541,3.414099,1.556818,3.987545
129.5,247.018279,3.403745,1.556289,4.124768
130.0,247.972018,3.393128,1.555949,4.261991
130.5,248.925756,3.382512,1.555802,4.399213
131.0,249.879495,3.372158,1.555851,4.536436
131.5,250.833233,3.36232,1.556095,4.673659
132.0,251.786972,3.35324,1.55653,4.810882
132.5,252.74071,3.345142,1.557152,4.948104
133.0,253.694449,3.338226,1.557951,5.085327
133.5,254.648187,3.332662,1.558918,5.22255
134.0,255.601926,3.328587,1.560039,5.359773
134.5,256.555664,3.326101,1.561301,5.496995
135.0,257.509403,3.325266,1.562687,5.634218
135.5,258.463141,3.326101,1.564178,5.771441
136.0,259.41688,3.328587,1.565756,5.908664
136.5,260.370618,3.332662,1.567399,6.045886
137.0,261.324357,3.338226,1.569086,6.183109
137.5,262.278096,3.345142,1.570796,0.037147
138.0,263.231834,3.35324,1.572506,0.174369
138.5,264.185573,3.36232,1.574194,0.311592
139.0,265.139311,3.372158,1.575837,0.448815
139.5,266.09305,3.382512,1.577415,0.586038
140.0,267.046788,3.393128,1.578906,0.72326
140.5,268.000527,3.403745,1.580292,0.860483
141.0,268.954265,3.414099,1.581553,0.997706
141.5,269.908004,3.423937,1.582675,1.134929
142.0,270.861742,3.433017,1.583642,1.272151
142.5,271.815481,3.441115,1.584441,1.409374
143.0,272.769219,3.44803,1.585062,1.546597
143.5,273.722958,3.453594,1.585498,1.68382
144.0,274.676696,3.45767,1.585741,1.821042
144.5,275.630435,3.460156,1.58579,1.958265
145.0,276.584173,3.460991,1.585644,2.095488
145.5,277.537912,3.460156,1.585304,2.232711
146.0,278.491651,3.45767,1.584774,2.369934
146.5,279.445389,3.453594,1.584063,2.507156
147.0,280.399128,3.44803,1.583178,2.644379
147.5,281.352866,3.441115,1.582133,2.781602
148.0,282.306605,3.433017,1.580939,2.918825
148.5,283.260343,3.423937,1.579613,3.056047
149.0,284.214082,3.414099,1.578172,3.19327
149.5,285.16782,3.403745,1.576635,3.330493
